tipo,n_cliente,num_cliente,num_cuenta,num_tarjeta,saldo,imp_credito,mon_credito,fecha_apertura,fecha_pago,fecha_dep,fecha_ven,fecha_corte,num_sucursal,estado,correo,telefono,rfc_empresa,n_empresa
CuentaC,Hilary Kures,58,,7287,,6335.15,2933,21-04-2025,14-11-2026,,31-12-2026,,5,Morelos,hkures1l@webmd.com,5438527357,,
CuentaC,Morgen Goodale,59,,1402,,994.38,248,02-04-2025,28-06-2026,,31-12-2026,,5,Morelos,mgoodale1m@youtube.com,8038844410,,
CuentaC,Madeline Perrington,60,,4761,,2723.95,2162,14-02-2025,18-07-2026,,31-12-2026,,6,Tlaxcala,mperrington1n@ifeng.com,6348889434,,
CuentaN,Farrel MacAlaster,61,145,,899.99,,,31-03-2025,,28-01-2025,,,4,Guerrero,fmacalaster1o@aboutads.info,3455158158,BLEZ801578MHU,Mynte
CuentaD,Chloris Enns,62,2132,,654.29,,,10-08-2025,,,,31-12-2026,4,Guerrero,cenns1p@dailymail.co.uk,2485386370,,
CuentaC,Pall Bonett,63,,8443,,9740.92,8954.91,29-05-2025,02-02-2026,,31-12-2026,,3,Puebla,pbonett1q@vistaprint.com,5817960460,,
CuentaC,Roth Vickerstaff,64,,6395,,5456.31,3139,01-03-2025,08-06-2026,,31-12-2026,,3,Puebla,rvickerstaff1r@surveymonkey.com,1522462862,,
CuentaC,Luella Hollyar,65,,5673,,9121.37,292,29-11-2025,19-06-2026,,31-12-2026,,4,Guerrero,lhollyar1s@woothemes.com,6028619255,,
CuentaD,Ancell Marrett,66,939,,3743.1,,,12-07-2025,,,,31-12-2026,5,Morelos,amarrett1t@wp.com,4541551025,,
CuentaC,Marion Lynthal,67,,2908,,6144.38,3311,20-10-2025,22-11-2026,,31-12-2026,,3,Puebla,mlynthal1u@xrea.com,8217675675,,
CuentaC,Zorina Peppard,68,,6158,,5314.76,1140,07-07-2025,14-10-2026,,31-12-2026,,3,Puebla,zpeppard1v@seesaa.net,5117013164,,
CuentaD,Louie Yorath,69,3303,,3806.32,,,02-12-2025,,,,31-12-2026,1,Hidalgo,lyorath1w@friendfeed.com,3998067438,,
CuentaC,Jewell Issett,70,,7904,,1404.27,388,04-06-2025,28-10-2026,,31-12-2026,,1,Hidalgo,jissett1x@infoseek.co.jp,1381902310,,
CuentaD,Tommie Oldrey,71,4813,,1392.35,,,25-01-2025,,,,31-12-2026,2,Jalisco,toldrey1y@barnesandnoble.com,4674208077,,
CuentaD,Agatha Greenacre,72,4011,,5971.7,,,10-04-2025,,,,31-12-2026,2,Jalisco,agreenacre1z@w3.org,9503807993,,
CuentaD,Raye Densell,73,4275,,3474.93,,,11-11-2025,,,,31-12-2026,4,Guerrero,rdensell20@google.com.au,8513108635,,
CuentaN,Lombard Steels,74,3696,,5271.29,,,14-05-2025,,13-05-2025,,,1,Hidalgo,lsteels21@timesonline.co.uk,3327970108,KIJV544853SQU,Browsedrive
CuentaN,Aarika Vallery,75,2001,,1052.59,,,28-06-2025,,13-01-2025,,,1,Hidalgo,avallery22@arstechnica.com,9136042272,EZWR405837PHI,Bubblebox
CuentaN,Barton Paton,76,2326,,7945.23,,,11-07-2025,,02-05-2025,,,1,Hidalgo,bpaton23@shop-pro.jp,8094581814,CHOG292702VHX,Gigashots
CuentaD,Hill Kingwell,77,2760,,4826.34,,,07-01-2025,,,,31-12-2026,4,Guerrero,hkingwell24@theatlantic.com,6919558318,,
CuentaC,Noak Sasser,78,,7675,,5454.24,777.32,30-10-2025,04-11-2026,,31-12-2026,,1,Hidalgo,nsasser25@seesaa.net,7316735928,,
CuentaD,Terry Ximenez,79,544,,6413.26,,,22-09-2025,,,,31-12-2026,3,Puebla,tximenez26@taobao.com,3799820591,,
CuentaD,Auguste Mauger,80,2628,,3753.33,,,01-11-2025,,,,31-12-2026,3,Puebla,amauger27@eepurl.com,8515556489,,
CuentaN,Taylor Reboul,81,3094,,4213.72,,,13-05-2025,,15-03-2025,,,3,Puebla,treboul28@nymag.com,4896188014,LGAP485548BPR,Quamba
CuentaD,Cathie Snarr,82,2678,,7110.21,,,10-08-2025,,,,31-12-2026,6,Tlaxcala,csnarr29@usa.gov,2023662422,,
CuentaD,Way Whitland,83,4605,,1030.83,,,02-03-2025,,,,31-12-2026,6,Tlaxcala,wwhitland2a@java.com,7347710990,,
CuentaD,Garv Dever,84,4348,,5309.45,,,19-07-2025,,,,31-12-2026,6,Tlaxcala,gdever2b@youku.com,9244263916,,
CuentaN,Sayers Quinnette,85,4840,,9076.43,,,26-04-2025,,16-02-2025,,,4,Guerrero,squinnette2c@google.ru,6353441465,MRHA044896EET,Quimm
CuentaN,Cherey Gaither,86,2130,,8409.51,,,25-02-2025,,26-04-2025,,,6,Tlaxcala,cgaither2d@unblog.fr,3207490154,EMIM807025RRO,Dazzlesphere
CuentaN,Stavros Tisor,87,4486,,6099.58,,,31-10-2025,,29-01-2025,,,3,Puebla,stisor2e@artisteer.com,5016240047,YHBY194758NHD,Gabtype
CuentaN,Roobbie McIllrick,88,2554,,8230.75,,,30-03-2025,,24-11-2025,,,1,Hidalgo,rmcillrick2f@wikia.com,4836989296,QLXB177326KBT,Riffpath
CuentaC,Car Bank,89,,3058,,9596.0,3638.91,11-02-2025,26-06-2026,,31-12-2026,,1,Hidalgo,cbank2g@amazonaws.com,6465179937,,
CuentaC,Consolata Antoniewski,90,,4760,,1542.14,1207,24-05-2025,19-05-2026,,31-12-2026,,3,Puebla,cantoniewski2h@yellowbook.com,8665392864,,
CuentaC,Sella Mansell,91,,4239,,2120.26,2084,13-03-2025,28-04-2026,,31-12-2026,,4,Guerrero,smansell2i@telegraph.co.uk,4553297797,,
CuentaD,Katrina Pichan,92,4142,,6584.9,,,19-08-2025,,,,31-12-2026,5,Morelos,kpichan2j@buzzfeed.com,6518374244,,
CuentaC,Franny Bridson,93,,8311,,4856.19,2334.56,05-04-2025,25-08-2026,,31-12-2026,,6,Tlaxcala,fbridson2k@sciencedaily.com,3726390505,,
CuentaN,Christie Plunket,94,2616,,934.38,,,17-05-2025,,23-08-2025,,,4,Guerrero,cplunket2l@biblegateway.com,2161103482,ZLAT271744SBP,Fliptune
CuentaN,Dillie Humbey,95,3972,,4281.35,,,17-02-2025,,17-05-2025,,,4,Guerrero,dhumbey2m@hud.gov,6266684823,JZLY488093TUW,Bubbletube
CuentaC,Bride Dunford,96,,7128,,7628.64,4745.29,26-11-2025,24-12-2026,,31-12-2026,,6,Tlaxcala,bdunford2n@arstechnica.com,1519455133,,
CuentaN,Dorothy Gunstone,97,2128,,2503.1,,,25-01-2025,,03-08-2025,,,3,Puebla,dgunstone2o@craigslist.org,3155325724,IMWV588678QRP,Kwinu
CuentaC,Moselle Bellis,98,,8129,,3961.96,3874.31,07-05-2025,08-11-2026,,31-12-2026,,5,Morelos,mbellis2p@addtoany.com,8725896879,,
CuentaC,Yovonnda Palfery,99,,7082,,7112.23,1086.66,13-12-2025,14-12-2026,,31-12-2026,,2,Jalisco,ypalfery2q@php.net,1093431248,,
CuentaC,Hugues Pepperd,100,,4016,,5086.27,3357.87,19-07-2025,22-11-2026,,31-12-2026,,6,Tlaxcala,hpepperd2r@hp.com,6312078770,,
CuentaC,Sissie Attyeo,101,,8734,,3863.88,1827.87,23-09-2025,08-09-2026,,31-12-2026,,5,Morelos,sattyeo2s@dion.ne.jp,9725270013,,
CuentaC,Fernandina Pudding,102,,6144,,9352.35,4698.82,11-07-2025,12-02-2026,,31-12-2026,,2,Jalisco,fpudding2t@webmd.com,1148060118,,
CuentaD,Kele Watkins,103,1580,,1082.02,,,16-05-2025,,,,31-12-2026,2,Jalisco,kwatkins2u@a8.net,8161763505,,
CuentaD,Arline Soro,104,4534,,4612.31,,,30-07-2025,,,,31-12-2026,1,Hidalgo,asoro2v@google.com.au,7586498315,,
CuentaD,Valentijn Droghan,105,3586,,3725.59,,,06-09-2025,,,,31-12-2026,4,Guerrero,vdroghan2w@feedburner.com,3032503068,,
CuentaD,Gray Khomishin,106,3656,,7292.35,,,18-09-2025,,,,31-12-2026,2,Jalisco,gkhomishin2x@163.com,5348368560,,
CuentaD,Ivett Eland,107,2588,,5188.73,,,13-03-2025,,,,31-12-2026,1,Hidalgo,ieland2y@adobe.com,6059361796,,
CuentaC,Elroy Niece,108,,2548,,2549.82,2434.22,08-01-2025,28-10-2026,,31-12-2026,,1,Hidalgo,eniece2z@list-manage.com,2694101915,,
CuentaC,Carola O'Lennane,109,,3099,,1777.67,1462,17-10-2025,12-06-2026,,31-12-2026,,2,Jalisco,colennane30@youku.com,7066295260,,
CuentaC,Sandi Longfellow,110,,3676,,9537.71,228.51,04-02-2025,28-12-2026,,31-12-2026,,6,Tlaxcala,slongfellow31@nationalgeographic.com,6056726023,,
CuentaC,Sharia Beauly,111,,1784,,4346.96,525.93,23-11-2025,01-03-2026,,31-12-2026,,6,Tlaxcala,sbeauly32@is.gd,2733355604,,
CuentaC,Pam Mattaus,112,,6727,,9995.09,2198.57,09-03-2025,22-05-2026,,31-12-2026,,1,Hidalgo,pmattaus33@skyrock.com,7797015016,,
CuentaD,Jasper Abdie,113,650,,1749.93,,,02-08-2025,,,,31-12-2026,6,Tlaxcala,jabdie34@sciencedirect.com,1269594114,,
CuentaN,Tamera Corbie,114,1518,,5725.12,,,25-06-2025,,07-03-2025,,,4,Guerrero,tcorbie35@dion.ne.jp,7822397502,DBCO433416DVA,Topiczoom
CuentaN,Gilly MacTeggart,115,4639,,8037.45,,,27-04-2025,,31-03-2025,,,1,Hidalgo,gmacteggart36@pen.io,4842795230,BAMD136538VIC,Oyoba
CuentaN,Lula Kase,116,2902,,2562.01,,,24-10-2025,,10-06-2025,,,5,Morelos,lkase37@reuters.com,1105199722,XDCO300066HWD,Meetz
CuentaN,Teddie Robardey,117,3806,,3282.71,,,25-07-2025,,02-03-2025,,,4,Guerrero,trobardey38@tamu.edu,1393229879,JUBD227954ZJL,Linktype
CuentaN,Ab Mairs,118,2713,,6212.57,,,24-12-2025,,24-03-2025,,,2,Jalisco,amairs39@baidu.com,3143463027,WGFE631843GPA,Jetpulse
CuentaC,Ariella Drohun,119,,2394,,6934.73,6035.91,28-07-2025,30-08-2026,,31-12-2026,,6,Tlaxcala,adrohun3a@cbsnews.com,3037246323,,
CuentaD,Towney Pedder,120,726,,8053.54,,,28-05-2025,,,,31-12-2026,4,Guerrero,tpedder3b@4shared.com,4841055115,,
CuentaD,Daune Doncom,121,4477,,4977.05,,,13-05-2025,,,,31-12-2026,6,Tlaxcala,ddoncom3c@oaic.gov.au,4976740108,,
CuentaD,Jennette Besnard,122,550,,1526.31,,,12-05-2025,,,,31-12-2026,3,Puebla,jbesnard3d@so-net.ne.jp,5976014693,,
CuentaD,Oren Frankes,123,2204,,963.44,,,09-07-2025,,,,31-12-2026,6,Tlaxcala,ofrankes3e@mozilla.com,7357930788,,
CuentaC,Adi Dunphy,124,,2642,,8491.83,5555.86,23-04-2025,25-02-2026,,31-12-2026,,2,Jalisco,adunphy3f@reuters.com,2015643776,,
CuentaN,Desdemona Desesquelle,125,1740,,3337.59,,,04-04-2025,,04-11-2025,,,5,Morelos,ddesesquelle3g@yale.edu,3768869711,VOFK365045HJS,Cogibox
CuentaD,Mahmoud Cramp,126,3516,,3049.2,,,27-02-2025,,,,31-12-2026,2,Jalisco,mcramp3h@businesswire.com,7677538454,,
CuentaC,Kirstyn Cockman,127,,3570,,7283.14,4701.07,17-09-2025,08-06-2026,,31-12-2026,,3,Puebla,kcockman3i@hc360.com,1115487759,,
CuentaC,Ulla Burdge,128,,5262,,915.42,396,25-05-2025,13-08-2026,,31-12-2026,,6,Tlaxcala,uburdge3j@techcrunch.com,7871606345,,
CuentaD,Daile Luxon,129,957,,7516.81,,,07-11-2025,,,,31-12-2026,1,Hidalgo,dluxon3k@purevolume.com,5901309135,,
CuentaD,Devy Rolin,130,4385,,9842.17,,,15-07-2025,,,,31-12-2026,1,Hidalgo,drolin3l@mozilla.com,3627703246,,
CuentaC,Marne Licence,131,,3287,,236.18,152,22-01-2025,18-01-2026,,31-12-2026,,3,Puebla,mlicence3m@tumblr.com,6157765214,,
CuentaC,Jenna Shaw,132,,6134,,1081.36,612,27-04-2025,18-07-2026,,31-12-2026,,3,Puebla,jshaw3n@blogs.com,2045629262,,
CuentaD,Thatch Spottiswood,133,1632,,8327.09,,,18-06-2025,,,,31-12-2026,4,Guerrero,tspottiswood3o@4shared.com,4851355252,,
CuentaC,Annabell Hubber,134,,1463,,9967.34,5877.72,15-08-2025,14-03-2026,,31-12-2026,,4,Guerrero,ahubber3p@phpbb.com,3954988099,,
CuentaN,Burl Gladtbach,135,4502,,1268.26,,,19-12-2025,,21-12-2025,,,4,Guerrero,bgladtbach3q@microsoft.com,5018735377,DQOG507269RJD,Yadel
CuentaN,Ilene Parradice,136,1812,,4370.16,,,28-07-2025,,24-07-2025,,,3,Puebla,iparradice3r@wikimedia.org,8179124084,XXOF299585YYY,Fatz
CuentaN,Terrill Makey,137,3007,,8212.96,,,23-09-2025,,20-02-2025,,,2,Jalisco,tmakey3s@ustream.tv,3046722531,UEYN927533VUL,Nlounge
CuentaD,Dannie McNee,138,4937,,9032.57,,,11-04-2025,,,,31-12-2026,6,Tlaxcala,dmcnee3t@japanpost.jp,3285254602,,
CuentaD,Alva Tremlett,139,4450,,1973.98,,,23-05-2025,,,,31-12-2026,4,Guerrero,atremlett3u@pcworld.com,8242480803,,
CuentaN,Anallese Paulsen,140,22,,7263.93,,,14-07-2025,,08-11-2025,,,6,Tlaxcala,apaulsen3v@ask.com,3697718589,DFIM161117OFQ,Skajo
CuentaC,Hyatt Sesser,141,,9116,,9921.26,9398.27,11-01-2025,10-04-2026,,31-12-2026,,3,Puebla,hsesser3w@quantcast.com,5022036935,,
CuentaD,Nanice Dilleston,142,2705,,8877.73,,,25-11-2025,,,,31-12-2026,2,Jalisco,ndilleston3x@who.int,8626381582,,
CuentaD,Urbano Culpan,143,917,,1879.01,,,13-08-2025,,,,31-12-2026,1,Hidalgo,uculpan3y@yellowbook.com,1329862999,,
CuentaD,Starla Lindsley,144,484,,5290.74,,,11-03-2025,,,,31-12-2026,6,Tlaxcala,slindsley3z@si.edu,5458224630,,
CuentaD,Carmencita Ridett,145,3605,,7370.03,,,17-11-2025,,,,31-12-2026,4,Guerrero,cridett40@youku.com,5275334501,,
CuentaC,Tammara Royle,146,,9107,,1226.62,899,26-08-2025,21-02-2026,,31-12-2026,,1,Hidalgo,troyle41@flickr.com,7113273434,,
CuentaD,Ferne Boarleyson,147,4160,,6953.98,,,23-04-2025,,,,31-12-2026,4,Guerrero,fboarleyson42@usatoday.com,3101575870,,
CuentaC,Fleur Overstreet,148,,6694,,1400.08,20,18-08-2025,16-07-2026,,31-12-2026,,2,Jalisco,foverstreet43@hatena.ne.jp,4435428971,,
CuentaC,Eunice Rawle,149,,3754,,4815.96,3718,12-12-2025,20-07-2026,,31-12-2026,,1,Hidalgo,erawle44@lycos.com,3327660704,,
CuentaD,Gayla Simonsson,150,2918,,7733.1,,,31-01-2025,,,,31-12-2026,1,Hidalgo,gsimonsson45@omniture.com,3545272880,,
CuentaN,Rochester Skells,151,3662,,303.42,,,10-03-2025,,28-03-2025,,,6,Tlaxcala,rskells46@uiuc.edu,3238071302,KAVN196469YOY,Geba
CuentaC,Padget Mannin,152,,2629,,1605.35,911.38,21-05-2025,26-09-2026,,31-12-2026,,3,Puebla,pmannin47@un.org,2488967665,,
CuentaD,Phylis Ginsie,153,3947,,8359.41,,,27-08-2025,,,,31-12-2026,5,Morelos,pginsie48@moonfruit.com,4395087338,,
CuentaD,Rozanne Yakobovicz,154,4610,,3837.64,,,05-04-2025,,,,31-12-2026,1,Hidalgo,ryakobovicz49@lulu.com,9743264501,,
CuentaN,Chance Dechelle,155,3575,,7970.09,,,30-04-2025,,29-04-2025,,,2,Jalisco,cdechelle4a@google.it,1831191912,DRYU369713QLI,Yacero
CuentaD,Micaela Ingledow,156,697,,4717.71,,,20-06-2025,,,,31-12-2026,2,Jalisco,mingledow4b@163.com,6259034300,,
CuentaC,Fraser Ascraft,157,,6247,,8395.85,7500.18,09-10-2025,23-09-2026,,31-12-2026,,5,Morelos,fascraft4c@plala.or.jp,1313364636,,
CuentaD,Marilin Dreossi,158,777,,2589.15,,,16-05-2025,,,,31-12-2026,2,Jalisco,mdreossi4d@moonfruit.com,6697500598,,
CuentaD,Corbin Aylen,159,2863,,1627.71,,,23-06-2025,,,,31-12-2026,6,Tlaxcala,caylen4e@washingtonpost.com,5914990346,,
CuentaD,Nedda Coyett,160,4912,,4117.71,,,22-04-2025,,,,31-12-2026,2,Jalisco,ncoyett4f@feedburner.com,7518505688,,
CuentaC,Chane Fallowfield,161,,1273,,7757.14,6165.65,01-02-2025,19-08-2026,,31-12-2026,,6,Tlaxcala,cfallowfield4g@fastcompany.com,8844161395,,
CuentaN,Arny Bentley,162,145,,9295.41,,,03-03-2025,,12-09-2025,,,1,Hidalgo,abentley4h@zimbio.com,7294356606,WVYJ272716SPS,Rhycero
CuentaN,Cortney Creffield,163,235,,3874.73,,,02-01-2025,,04-02-2025,,,2,Jalisco,ccreffield4i@foxnews.com,7379215466,GHPQ644681DUW,Quinu
CuentaN,Allissa Ham,164,447,,2897.33,,,09-01-2025,,20-01-2025,,,4,Guerrero,aham4j@printfriendly.com,9881059292,JGQA280974WDT,Yombu
CuentaD,Violet Dumblton,165,4191,,4616.5,,,09-02-2025,,,,31-12-2026,6,Tlaxcala,vdumblton4k@rambler.ru,1915598656,,
CuentaN,Winfield Benoist,166,2231,,3891.15,,,29-04-2025,,24-01-2025,,,2,Jalisco,wbenoist4l@state.tx.us,7756974929,TIRQ051763TYF,Eazzy
CuentaD,Aggy Rollings,167,302,,8014.51,,,21-05-2025,,,,31-12-2026,6,Tlaxcala,arollings4m@goodreads.com,1058210483,,
CuentaC,Franzen Tortice,168,,1693,,9248.35,4777,17-03-2025,04-03-2026,,31-12-2026,,4,Guerrero,ftortice4n@squidoo.com,3141321626,,
CuentaN,Delaney Borsi,169,4099,,2631.87,,,16-09-2025,,13-10-2025,,,6,Tlaxcala,dborsi4o@weather.com,2832057467,PHJN329804UQT,Innojam
CuentaD,Cully Dolley,170,4507,,3165.33,,,20-12-2025,,,,31-12-2026,5,Morelos,cdolley4p@elegantthemes.com,4605152940,,
